Invoice Number, Batch Number,Vendor Name,Invoice Number, Line,Line Amount,Account Description,Issue Date ,Total Amount Paid,Department,Proclass
1025879,800123576,HAYS SPECIALIST RECRUITMENT,1025879,1,954.80,FRS STAFF AGENCY,07/01/19,954.80,People Services,Human Resources
1025880,800123546,HAYS SPECIALIST RECRUITMENT,1025880,1,962.15,FRS STAFF AGENCY,07/01/19,962.15,CPO People Programme,Human Resources
1025881,800123545,HAYS SPECIALIST RECRUITMENT,1025881,1,883.74,FRS STAFF AGENCY,07/01/19,883.74,Grenfell Investigation Legal Costs,Human Resources
1025882,800123562,HAYS SPECIALIST RECRUITMENT,1025882,1,858.55,FRS STAFF AGENCY,07/01/19,858.55,Grenfell Investigation Legal Costs,Human Resources
1025883,800123572,HAYS SPECIALIST RECRUITMENT,1025883,1,883.75,FRS STAFF AGENCY,07/01/19,883.75,Grenfell Investigation Legal Costs,Human Resources
1025884,800123551,HAYS SPECIALIST RECRUITMENT,1025884,1,"1,635.60",FRS STAFF AGENCY,07/01/19,"1,635.60",Information and Communication Technology,Human Resources
1025885,800123548,HAYS SPECIALIST RECRUITMENT,1025885,1,723.91,FRS STAFF AGENCY,07/01/19,723.91,Operational Resilience,Human Resources
1025886,800123543,HAYS SPECIALIST RECRUITMENT,1025886,1,602.70,FRS STAFF AGENCY,07/01/19,602.70,Technical and Service Support,Human Resources
1025887,800123588,HAYS SPECIALIST RECRUITMENT,1025887,1,927.50,FRS STAFF AGENCY,07/01/19,927.50,Procurement,Human Resources
1025888,800123589,HAYS SPECIALIST RECRUITMENT,1025888,1,620.90,FRS STAFF AGENCY,07/01/19,620.90,Community Safety,Human Resources
1025889,800123550,HAYS SPECIALIST RECRUITMENT,1025889,1,878.85,FRS STAFF AGENCY,07/01/19,878.85,Information and Communication Technology,Human Resources
1025891,800123573,HAYS SPECIALIST RECRUITMENT,1025891,1,"1,300.90",FRS STAFF AGENCY,07/01/19,"1,300.90",Operational Resilience,Human Resources
1025892,800123582,HAYS SPECIALIST RECRUITMENT,1025892,1,"1,154.25",FRS STAFF AGENCY,07/01/19,"1,154.25",Procurement,Human Resources
1025893,800123566,HAYS SPECIALIST RECRUITMENT,1025893,1,620.90,FRS STAFF AGENCY,07/01/19,620.90,General Counsel,Human Resources
1025894,800123584,HAYS SPECIALIST RECRUITMENT,1025894,1,"2,111.70",FRS STAFF AGENCY,07/01/19,"2,111.70",Corporate Portfolio Office,Human Resources
1025895,800123547,HAYS SPECIALIST RECRUITMENT,1025895,1,524.58,FRS STAFF AGENCY,07/01/19,524.58,Information and Communication Technology,Human Resources
1025897,800123563,HAYS SPECIALIST RECRUITMENT,1025897,1,907.17,FRS STAFF AGENCY,07/01/19,907.17,Technical and Service Support,Human Resources
1025899,800123553,HAYS SPECIALIST RECRUITMENT,1025899,1,630.35,FRS STAFF AGENCY,07/01/19,630.35,Procurement,Human Resources
1025900,800123542,HAYS SPECIALIST RECRUITMENT,1025900,1,"1,824.80",FRS STAFF AGENCY,07/01/19,"1,824.80",Information and Communication Technology,Human Resources
1025901,800123567,HAYS SPECIALIST RECRUITMENT,1025901,1,"1,040.72",FRS STAFF AGENCY,07/01/19,"1,040.72",Operational Resilience,Human Resources
1025902,800123569,HAYS SPECIALIST RECRUITMENT,1025902,1,487.57,FRS STAFF AGENCY,07/01/19,487.57,Management Support,Human Resources
1025903,800123578,HAYS SPECIALIST RECRUITMENT,1025903,1,382.06,FRS STAFF AGENCY,07/01/19,382.06,People Services,Human Resources
1025904,800123552,HAYS SPECIALIST RECRUITMENT,1025904,1,620.90,FRS STAFF AGENCY,07/01/19,620.90,Management Support,Human Resources
