 Batch Number,Vendor Name,Invoice Number, Line,Line Amount,Account Description,Issue Date ,Total Amount Paid,Department,Title
800060019,*THOMAS KNEALE & CO LTD,TK109902,68,2.84,OFFICE FURNITURE,02/04/2015,,Operations Fire Stations,Furniture
800060019,*THOMAS KNEALE & CO LTD,TK109902,69,10.89,CLOTHING,02/04/2015,,Operations Fire Stations,Furniture
800060019,*THOMAS KNEALE & CO LTD,TK109902,70,1.48,CLOTHING,02/04/2015,,Operations Fire Stations,Furniture
800060019,*THOMAS KNEALE & CO LTD,TK109902,71,2.59,OFFICE FURNITURE,02/04/2015,,Operations Fire Stations,Furniture
800060019,*THOMAS KNEALE & CO LTD,TK109902,72,10.89,CLOTHING,02/04/2015,,Operations Fire Stations,Furniture
800060019,*THOMAS KNEALE & CO LTD,TK109902,73,10.89,CLOTHING,02/04/2015,,Operations Fire Stations,Furniture
800060019,*THOMAS KNEALE & CO LTD,TK109902,74,0.99,CLOTHING,02/04/2015,,Operations Fire Stations,Furniture
800060019,*THOMAS KNEALE & CO LTD,TK109902,75,3.47,CLOTHING,02/04/2015,,Operations Fire Stations,Furniture
800060019,*THOMAS KNEALE & CO LTD,TK109902,76,10.89,CLOTHING,02/04/2015,,Operations Fire Stations,Furniture
800060019,*THOMAS KNEALE & CO LTD,TK109902,77,10.89,CLOTHING,02/04/2015,,Operations Fire Stations,Furniture
800060019,*THOMAS KNEALE & CO LTD,TK109902,78,0.99,CLOTHING,02/04/2015,,Operations Fire Stations,Furniture
800060019,*THOMAS KNEALE & CO LTD,TK109902,79,2.96,CLOTHING,02/04/2015,,Operations Fire Stations,Furniture
800060019,*THOMAS KNEALE & CO LTD,TK109902,80,10.89,CLOTHING,02/04/2015,,Operations Fire Stations,Furniture
800060019,*THOMAS KNEALE & CO LTD,TK109902,81,3.47,CLOTHING,02/04/2015,,Operations Fire Stations,Furniture
800060019,*THOMAS KNEALE & CO LTD,TK109902,82,1.48,CLOTHING,02/04/2015,,Operations Fire Stations,Furniture
800060019,*THOMAS KNEALE & CO LTD,TK109902,83,10.89,CLOTHING,02/04/2015,,Operations Fire Stations,Furniture
800060019,*THOMAS KNEALE & CO LTD,TK109902,84,0.99,CLOTHING,02/04/2015,,Operations Fire Stations,Furniture
800060019,*THOMAS KNEALE & CO LTD,TK109902,85,10.89,CLOTHING,02/04/2015,,Operations Fire Stations,Furniture
800060019,*THOMAS KNEALE & CO LTD,TK109902,86,6.94,CLOTHING,02/04/2015,,Operations Fire Stations,Furniture
800060019,*THOMAS KNEALE & CO LTD,TK109902,87,2.96,CLOTHING,02/04/2015,,Operations Fire Stations,Furniture
800060019,*THOMAS KNEALE & CO LTD,TK109902,88,6.94,CLOTHING,02/04/2015,,Operations Fire Stations,Furniture
800060019,*THOMAS KNEALE & CO LTD,TK109902,89,2.96,CLOTHING,02/04/2015,,Operations Fire Stations,Furniture
800060019,*THOMAS KNEALE & CO LTD,TK109902,90,1.48,CLOTHING,02/04/2015,,Operations Fire Stations,Furniture
800060019,*THOMAS KNEALE & CO LTD,TK109902,91,3.47,CLOTHING,02/04/2015,,Operations Fire Stations,Furniture
800060019,*THOMAS KNEALE & CO LTD,TK109902,92,1.48,CLOTHING,02/04/2015,,Operations Fire Stations,Furniture
800060019,*THOMAS KNEALE & CO LTD,TK109902,93,3.47,CLOTHING,02/04/2015,,Operations Fire Stations,Furniture
800060019,*THOMAS KNEALE & CO LTD,TK109902,94,1.48,CLOTHING,02/04/2015,,Operations Fire Stations,Furniture
800060019,*THOMAS KNEALE & CO LTD,TK109902,95,1.48,CLOTHING,02/04/2015,,Operations Fire Stations,Furniture
800060019,*THOMAS KNEALE & CO LTD,TK109902,96,3.47,CLOTHING,02/04/2015,,Operations Fire Stations,Furniture
800060019,*THOMAS KNEALE & CO LTD,TK109902,97,10.89,CLOTHING,02/04/2015,,Operations Fire Stations,Furniture
800060019,*THOMAS KNEALE & CO LTD,TK109902,98,10.89,CLOTHING,02/04/2015,,Operations Fire Stations,Furniture
800060019,*THOMAS KNEALE & CO LTD,TK109902,99,8.52,OFFICE FURNITURE,02/04/2015,,Operations Fire Stations,Furniture
800060019,*THOMAS KNEALE & CO LTD,TK109902,100,2.96,CLOTHING,02/04/2015,,Operations Fire Stations,Furniture
800060019,*THOMAS KNEALE & CO LTD,TK109902,101,6.94,CLOTHING,02/04/2015,,Operations Fire Stations,Furniture
800060019,*THOMAS KNEALE & CO LTD,TK109902,102,10.89,CLOTHING,02/04/2015,,Operations Fire Stations,Furniture
300315H,ARVAL UK LTD,VS0001657961,1,410.84,CONTRACT HIRE,02/04/2015,410.84,LIFE - LFB Funded,Vehicle Management
800060095,ALLSTAR BUSINESS SOLUTIONS LTD,E2004438731,1,511.36,FUEL,08/04/2015,"17,721.51",Procurement,Vehicle Management
800060095,ALLSTAR BUSINESS SOLUTIONS LTD,E2004438731,2,510.16,FUEL,08/04/2015,,Operations Fire Stations,Vehicle Management
800060095,ALLSTAR BUSINESS SOLUTIONS LTD,E2004438731,3,483.1,FUEL,08/04/2015,,Operations Fire Stations,Vehicle Management
800060095,ALLSTAR BUSINESS SOLUTIONS LTD,E2004438731,4,481.58,FUEL,08/04/2015,,Operations Non Fire Stations,Vehicle Management
800060095,ALLSTAR BUSINESS SOLUTIONS LTD,E2004438731,5,418.99,FUEL,08/04/2015,,Operations Fire Stations,Vehicle Management
800060095,ALLSTAR BUSINESS SOLUTIONS LTD,E2004438731,6,411.15,FUEL,08/04/2015,,Operations Fire Stations,Vehicle Management
800060095,ALLSTAR BUSINESS SOLUTIONS LTD,E2004438731,7,403.21,FUEL,08/04/2015,,Operations Fire Stations,Vehicle Management
800060095,ALLSTAR BUSINESS SOLUTIONS LTD,E2004438731,8,396.78,FUEL,08/04/2015,,Operations Fire Stations,Vehicle Management
800060095,ALLSTAR BUSINESS SOLUTIONS LTD,E2004438731,9,355.44,FUEL,08/04/2015,,Operations Fire Stations,Vehicle Management
800060095,ALLSTAR BUSINESS SOLUTIONS LTD,E2004438731,10,318.88,FUEL,08/04/2015,,Operations Fire Stations,Vehicle Management
800060095,ALLSTAR BUSINESS SOLUTIONS LTD,E2004438731,11,312.84,FUEL,08/04/2015,,Operations Fire Stations,Vehicle Management
800060095,ALLSTAR BUSINESS SOLUTIONS LTD,E2004438731,12,299.45,FUEL,08/04/2015,,Operations Fire Stations,Vehicle Management
800060095,ALLSTAR BUSINESS SOLUTIONS LTD,E2004438731,13,289.74,FUEL,08/04/2015,,Operations Fire Stations,Vehicle Management
800060095,ALLSTAR BUSINESS SOLUTIONS LTD,E2004438731,14,271.06,FUEL,08/04/2015,,Operations Fire Stations,Vehicle Management
800060095,ALLSTAR BUSINESS SOLUTIONS LTD,E2004438731,15,267.52,FUEL,08/04/2015,,Operations Fire Stations,Vehicle Management
800060095,ALLSTAR BUSINESS SOLUTIONS LTD,E2004438731,16,264.49,FUEL,08/04/2015,,Operations Fire Stations,Vehicle Management
800060095,ALLSTAR BUSINESS SOLUTIONS LTD,E2004438731,17,262.18,FUEL,08/04/2015,,Operations Fire Stations,Vehicle Management
800060095,ALLSTAR BUSINESS SOLUTIONS LTD,E2004438731,18,261.05,FUEL,08/04/2015,,Operations Fire Stations,Vehicle Management
800060095,ALLSTAR BUSINESS SOLUTIONS LTD,E2004438731,19,258.76,FUEL,08/04/2015,,Operations Fire Stations,Vehicle Management
800060095,ALLSTAR BUSINESS SOLUTIONS LTD,E2004438731,20,258.11,FUEL,08/04/2015,,Operations Fire Stations,Vehicle Management
800060095,ALLSTAR BUSINESS SOLUTIONS LTD,E2004438731,21,257.45,FUEL,08/04/2015,,Operations Fire Stations,Vehicle Management
800060095,ALLSTAR BUSINESS SOLUTIONS LTD,E2004438731,22,255.14,FUEL,08/04/2015,,Operations Fire Stations,Vehicle Management
800060095,ALLSTAR BUSINESS SOLUTIONS LTD,E2004438731,23,247.56,FUEL,08/04/2015,,Operations Fire Stations,Vehicle Management
800060095,ALLSTAR BUSINESS SOLUTIONS LTD,E2004438731,24,241.68,FUEL,08/04/2015,,Operations Fire Stations,Vehicle Management
800060095,ALLSTAR BUSINESS SOLUTIONS LTD,E2004438731,25,239.18,FUEL,08/04/2015,,Operations Fire Stations,Vehicle Management
800060095,ALLSTAR BUSINESS SOLUTIONS LTD,E2004438731,26,235.77,FUEL,08/04/2015,,Operations Fire Stations,Vehicle Management
800060095,ALLSTAR BUSINESS SOLUTIONS LTD,E2004438731,27,226.06,FUEL,08/04/2015,,Operations Fire Stations,Vehicle Management
800060095,ALLSTAR BUSINESS SOLUTIONS LTD,E2004438731,28,223.39,FUEL,08/04/2015,,Operations Fire Stations,Vehicle Management
800060095,ALLSTAR BUSINESS SOLUTIONS LTD,E2004438731,29,212.31,FUEL,08/04/2015,,Operations Fire Stations,Vehicle Management
800060095,ALLSTAR BUSINESS SOLUTIONS LTD,E2004438731,30,210.1,FUEL,08/04/2015,,Operations Fire Stations,Vehicle Management
800060095,ALLSTAR BUSINESS SOLUTIONS LTD,E2004438731,31,207.8,FUEL,08/04/2015,,Operations Fire Stations,Vehicle Management
800060095,ALLSTAR BUSINESS SOLUTIONS LTD,E2004438731,32,207.78,FUEL,08/04/2015,,Operations Fire Stations,Vehicle Management
800060095,ALLSTAR BUSINESS SOLUTIONS LTD,E2004438731,33,204.99,FUEL,08/04/2015,,Operations Fire Stations,Vehicle Management
800060095,ALLSTAR BUSINESS SOLUTIONS LTD,E2004438731,34,204.34,FUEL,08/04/2015,,Operations Fire Stations,Vehicle Management
800060095,ALLSTAR BUSINESS SOLUTIONS LTD,E2004438731,35,197.54,FUEL,08/04/2015,,Operations Fire Stations,Vehicle Management
800060095,ALLSTAR BUSINESS SOLUTIONS LTD,E2004438731,36,192.99,FUEL,08/04/2015,,Command Units,Vehicle Management
800060095,ALLSTAR BUSINESS SOLUTIONS LTD,E2004438731,37,191.57,FUEL,08/04/2015,,Operations Fire Stations,Vehicle Management
800060095,ALLSTAR BUSINESS SOLUTIONS LTD,E2004438731,38,186.03,FUEL,08/04/2015,,Operations Fire Stations,Vehicle Management
800060095,ALLSTAR BUSINESS SOLUTIONS LTD,E2004438731,39,178.11,FUEL,08/04/2015,,Operations Fire Stations,Vehicle Management
800060095,ALLSTAR BUSINESS SOLUTIONS LTD,E2004438731,40,171.99,FUEL,08/04/2015,,Operations Fire Stations,Vehicle Management
800060095,ALLSTAR BUSINESS SOLUTIONS LTD,E2004438731,41,170.33,FUEL,08/04/2015,,Command Units,Vehicle Management
800060095,ALLSTAR BUSINESS SOLUTIONS LTD,E2004438731,42,168.74,FUEL,08/04/2015,,Operations Fire Stations,Vehicle Management
800060095,ALLSTAR BUSINESS SOLUTIONS LTD,E2004438731,43,166.25,FUEL,08/04/2015,,Operations Fire Stations,Vehicle Management
800060095,ALLSTAR BUSINESS SOLUTIONS LTD,E2004438731,44,164.49,FUEL,08/04/2015,,Operations Fire Stations,Vehicle Management
800060095,ALLSTAR BUSINESS SOLUTIONS LTD,E2004438731,45,160.32,FUEL,08/04/2015,,Command Units,Vehicle Management
800060095,ALLSTAR BUSINESS SOLUTIONS LTD,E2004438731,46,158.72,FUEL,08/04/2015,,Operations Fire Stations,Vehicle Management
800060095,ALLSTAR BUSINESS SOLUTIONS LTD,E2004438731,47,154.23,FUEL,08/04/2015,,Operations Fire Stations,Vehicle Management
800060095,ALLSTAR BUSINESS SOLUTIONS LTD,E2004438731,48,153.93,FUEL,08/04/2015,,Command Units,Vehicle Management
800060095,ALLSTAR BUSINESS SOLUTIONS LTD,E2004438731,49,153.16,FUEL,08/04/2015,,Operations Fire Stations,Vehicle Management
800060095,ALLSTAR BUSINESS SOLUTIONS LTD,E2004438731,50,148.89,FUEL,08/04/2015,,Operations Fire Stations,Vehicle Management
800060095,ALLSTAR BUSINESS SOLUTIONS LTD,E2004438731,51,148.16,FUEL,08/04/2015,,Operations Fire Stations,Vehicle Management
800060095,ALLSTAR BUSINESS SOLUTIONS LTD,E2004438731,52,146.2,FUEL,08/04/2015,,Fire Safety Regulation,Vehicle Management
800060095,ALLSTAR BUSINESS SOLUTIONS LTD,E2004438731,53,143.42,FUEL,08/04/2015,,Operations Fire Stations,Vehicle Management
800060095,ALLSTAR BUSINESS SOLUTIONS LTD,E2004438731,54,143.15,FUEL,08/04/2015,,Command Units,Vehicle Management
800060095,ALLSTAR BUSINESS SOLUTIONS LTD,E2004438731,55,142.4,FUEL,08/04/2015,,Operations Fire Stations,Vehicle Management
800060095,ALLSTAR BUSINESS SOLUTIONS LTD,E2004438731,56,140.9,FUEL,08/04/2015,,Operations Fire Stations,Vehicle Management
800060095,ALLSTAR BUSINESS SOLUTIONS LTD,E2004438731,57,139.88,FUEL,08/04/2015,,Operations Fire Stations,Vehicle Management
800060095,ALLSTAR BUSINESS SOLUTIONS LTD,E2004438731,58,139.68,FUEL,08/04/2015,,Operations Fire Stations,Vehicle Management
800060095,ALLSTAR BUSINESS SOLUTIONS LTD,E2004438731,59,133.15,FUEL,08/04/2015,,Operations Fire Stations,Vehicle Management
800060095,ALLSTAR BUSINESS SOLUTIONS LTD,E2004438731,60,126.91,FUEL,08/04/2015,,Operations Fire Stations,Vehicle Management
800060095,ALLSTAR BUSINESS SOLUTIONS LTD,E2004438731,61,126.39,FUEL,08/04/2015,,Operations Fire Stations,Vehicle Management
800060095,ALLSTAR BUSINESS SOLUTIONS LTD,E2004438731,62,124.54,FUEL,08/04/2015,,Command Units,Vehicle Management
800060095,ALLSTAR BUSINESS SOLUTIONS LTD,E2004438731,63,122.75,FUEL,08/04/2015,,Operations Fire Stations,Vehicle Management
800060095,ALLSTAR BUSINESS SOLUTIONS LTD,E2004438731,64,120.42,FUEL,08/04/2015,,Operations Fire Stations,Vehicle Management
800060095,ALLSTAR BUSINESS SOLUTIONS LTD,E2004438731,65,119.37,FUEL,08/04/2015,,Operations Fire Stations,Vehicle Management
800060095,ALLSTAR BUSINESS SOLUTIONS LTD,E2004438731,66,116.98,FUEL,08/04/2015,,Operations Fire Stations,Vehicle Management
800060095,ALLSTAR BUSINESS SOLUTIONS LTD,E2004438731,67,114.97,FUEL,08/04/2015,,Operations Fire Stations,Vehicle Management
800060095,ALLSTAR BUSINESS SOLUTIONS LTD,E2004438731,68,112.69,FUEL,08/04/2015,,Operations Fire Stations,Vehicle Management
800060095,ALLSTAR BUSINESS SOLUTIONS LTD,E2004438731,69,108.61,FUEL,08/04/2015,,Operations Fire Stations,Vehicle Management
800060095,ALLSTAR BUSINESS SOLUTIONS LTD,E2004438731,70,106,FUEL,08/04/2015,,Operations Fire Stations,Vehicle Management
800060095,ALLSTAR BUSINESS SOLUTIONS LTD,E2004438731,71,105.99,FUEL,08/04/2015,,Operations Fire Stations,Vehicle Management
800060095,ALLSTAR BUSINESS SOLUTIONS LTD,E2004438731,72,105.57,FUEL,08/04/2015,,Operations Fire Stations,Vehicle Management
800060095,ALLSTAR BUSINESS SOLUTIONS LTD,E2004438731,73,104.09,FUEL,08/04/2015,,Operations Fire Stations,Vehicle Management
800060095,ALLSTAR BUSINESS SOLUTIONS LTD,E2004438731,74,95.84,FUEL,08/04/2015,,Operations Fire Stations,Vehicle Management
800060095,ALLSTAR BUSINESS SOLUTIONS LTD,E2004438731,75,95.5,FUEL,08/04/2015,,Information and Communication Technology,Vehicle Management
800060095,ALLSTAR BUSINESS SOLUTIONS LTD,E2004438731,76,92.29,FUEL,08/04/2015,,Operations Fire Stations,Vehicle Management
800060095,ALLSTAR BUSINESS SOLUTIONS LTD,E2004438731,77,89.81,FUEL,08/04/2015,,Operations Fire Stations,Vehicle Management
800060095,ALLSTAR BUSINESS SOLUTIONS LTD,E2004438731,78,88.91,FUEL,08/04/2015,,Business Continuity,Vehicle Management
800060095,ALLSTAR BUSINESS SOLUTIONS LTD,E2004438731,79,87.63,FUEL,08/04/2015,,Command Units,Vehicle Management
800060095,ALLSTAR BUSINESS SOLUTIONS LTD,E2004438731,80,86.29,FUEL,08/04/2015,,Operations Fire Stations,Vehicle Management
800060095,ALLSTAR BUSINESS SOLUTIONS LTD,E2004438731,81,86.12,FUEL,08/04/2015,,Operations Fire Stations,Vehicle Management
800060095,ALLSTAR BUSINESS SOLUTIONS LTD,E2004438731,82,83.91,FUEL,08/04/2015,,Operations Fire Stations,Vehicle Management
800060095,ALLSTAR BUSINESS SOLUTIONS LTD,E2004438731,83,78.85,FUEL,08/04/2015,,Command Units,Vehicle Management
800060095,ALLSTAR BUSINESS SOLUTIONS LTD,E2004438731,84,77.9,FUEL,08/04/2015,,Operations Fire Stations,Vehicle Management
800060095,ALLSTAR BUSINESS SOLUTIONS LTD,E2004438731,85,77.48,FUEL,08/04/2015,,Operations Fire Stations,Vehicle Management
800060095,ALLSTAR BUSINESS SOLUTIONS LTD,E2004438731,86,76.24,FUEL,08/04/2015,,Operations Fire Stations,Vehicle Management
800060095,ALLSTAR BUSINESS SOLUTIONS LTD,E2004438731,87,74.2,FUEL,08/04/2015,,Operations Fire Stations,Vehicle Management
800060095,ALLSTAR BUSINESS SOLUTIONS LTD,E2004438731,88,71.87,FUEL,08/04/2015,,Technical And Service Support,Vehicle Management
800060095,ALLSTAR BUSINESS SOLUTIONS LTD,E2004438731,89,71.63,FUEL,08/04/2015,,Operations Fire Stations,Vehicle Management
800060095,ALLSTAR BUSINESS SOLUTIONS LTD,E2004438731,90,68.55,FUEL,08/04/2015,,Operational Resilience,Vehicle Management
800060095,ALLSTAR BUSINESS SOLUTIONS LTD,E2004438731,91,67.79,FUEL,08/04/2015,,Operations Non Fire Stations,Vehicle Management
800060095,ALLSTAR BUSINESS SOLUTIONS LTD,E2004438731,92,62.24,FUEL,08/04/2015,,Operational Procedures,Vehicle Management
800060095,ALLSTAR BUSINESS SOLUTIONS LTD,E2004438731,93,60.55,FUEL,08/04/2015,,LIFE - LFB Funded,Vehicle Management
800060095,ALLSTAR BUSINESS SOLUTIONS LTD,E2004438731,94,56.03,FUEL,08/04/2015,,Operations Fire Stations,Vehicle Management
800060095,ALLSTAR BUSINESS SOLUTIONS LTD,E2004438731,95,54.23,FUEL,08/04/2015,,CBRN RRT,Vehicle Management
800060095,ALLSTAR BUSINESS SOLUTIONS LTD,E2004438731,96,51.67,FUEL,08/04/2015,,Operational Resilience,Vehicle Management
800060095,ALLSTAR BUSINESS SOLUTIONS LTD,E2004438731,97,44.82,FUEL,08/04/2015,,Operations Fire Stations,Vehicle Management
800060095,ALLSTAR BUSINESS SOLUTIONS LTD,E2004438731,98,39.16,FUEL,08/04/2015,,Operations Fire Stations,Vehicle Management
800060095,ALLSTAR BUSINESS SOLUTIONS LTD,E2004438731,99,35.53,FUEL,08/04/2015,,Operations Fire Stations,Vehicle Management
800060095,ALLSTAR BUSINESS SOLUTIONS LTD,E2004438731,100,27.56,FUEL,08/04/2015,,Technical And Service Support,Vehicle Management
800060243,ALLSTAR BUSINESS SOLUTIONS LTD,E2004474887,1,811.79,FUEL,08/04/2015,"15,245.92",Operations Non Fire Stations,Vehicle Management
800060243,ALLSTAR BUSINESS SOLUTIONS LTD,E2004474887,2,503.44,FUEL,08/04/2015,,Operations Fire Stations,Vehicle Management
800060243,ALLSTAR BUSINESS SOLUTIONS LTD,E2004474887,3,411.31,FUEL,08/04/2015,,Procurement,Vehicle Management
800060243,ALLSTAR BUSINESS SOLUTIONS LTD,E2004474887,4,319.66,FUEL,08/04/2015,,Operations Fire Stations,Vehicle Management
800060243,ALLSTAR BUSINESS SOLUTIONS LTD,E2004474887,5,312.23,FUEL,08/04/2015,,Operations Fire Stations,Vehicle Management
800060243,ALLSTAR BUSINESS SOLUTIONS LTD,E2004474887,6,303.45,FUEL,08/04/2015,,Operations Fire Stations,Vehicle Management
800060243,ALLSTAR BUSINESS SOLUTIONS LTD,E2004474887,7,300.16,FUEL,08/04/2015,,Operations Fire Stations,Vehicle Management
800060243,ALLSTAR BUSINESS SOLUTIONS LTD,E2004474887,8,298.89,FUEL,08/04/2015,,Operations Fire Stations,Vehicle Management
800060243,ALLSTAR BUSINESS SOLUTIONS LTD,E2004474887,9,288.31,FUEL,08/04/2015,,Operations Fire Stations,Vehicle Management
800060243,ALLSTAR BUSINESS SOLUTIONS LTD,E2004474887,10,269.98,FUEL,08/04/2015,,Operations Fire Stations,Vehicle Management
800060243,ALLSTAR BUSINESS SOLUTIONS LTD,E2004474887,11,265.2,FUEL,08/04/2015,,Operations Fire Stations,Vehicle Management
800060243,ALLSTAR BUSINESS SOLUTIONS LTD,E2004474887,12,260.04,FUEL,08/04/2015,,Operations Fire Stations,Vehicle Management
800060243,ALLSTAR BUSINESS SOLUTIONS LTD,E2004474887,13,251.47,FUEL,08/04/2015,,Operations Fire Stations,Vehicle Management
800060243,ALLSTAR BUSINESS SOLUTIONS LTD,E2004474887,14,245.04,FUEL,08/04/2015,,Operations Fire Stations,Vehicle Management
800060243,ALLSTAR BUSINESS SOLUTIONS LTD,E2004474887,15,243.7,FUEL,08/04/2015,,Fire Safety Regulation,Vehicle Management
800060243,ALLSTAR BUSINESS SOLUTIONS LTD,E2004474887,16,239.01,FUEL,08/04/2015,,Operations Fire Stations,Vehicle Management
800060243,ALLSTAR BUSINESS SOLUTIONS LTD,E2004474887,17,237.39,FUEL,08/04/2015,,Operations Fire Stations,Vehicle Management
800060243,ALLSTAR BUSINESS SOLUTIONS LTD,E2004474887,18,234.15,FUEL,08/04/2015,,Operations Fire Stations,Vehicle Management
800060243,ALLSTAR BUSINESS SOLUTIONS LTD,E2004474887,19,230.77,FUEL,08/04/2015,,Operations Fire Stations,Vehicle Management
800060243,ALLSTAR BUSINESS SOLUTIONS LTD,E2004474887,20,229.97,FUEL,08/04/2015,,Operations Fire Stations,Vehicle Management
800060243,ALLSTAR BUSINESS SOLUTIONS LTD,E2004474887,21,225.47,FUEL,08/04/2015,,Operations Fire Stations,Vehicle Management
800060243,ALLSTAR BUSINESS SOLUTIONS LTD,E2004474887,22,225.4,FUEL,08/04/2015,,Operations Fire Stations,Vehicle Management
800060243,ALLSTAR BUSINESS SOLUTIONS LTD,E2004474887,23,218.43,FUEL,08/04/2015,,Operations Fire Stations,Vehicle Management
800060243,ALLSTAR BUSINESS SOLUTIONS LTD,E2004474887,24,217.76,FUEL,08/04/2015,,Operations Fire Stations,Vehicle Management
800060243,ALLSTAR BUSINESS SOLUTIONS LTD,E2004474887,25,216.71,FUEL,08/04/2015,,Operations Fire Stations,Vehicle Management
800060243,ALLSTAR BUSINESS SOLUTIONS LTD,E2004474887,26,215.3,FUEL,08/04/2015,,Operations Fire Stations,Vehicle Management
800060243,ALLSTAR BUSINESS SOLUTIONS LTD,E2004474887,27,209.83,FUEL,08/04/2015,,Operations Fire Stations,Vehicle Management
800060243,ALLSTAR BUSINESS SOLUTIONS LTD,E2004474887,28,195.83,FUEL,08/04/2015,,Operations Fire Stations,Vehicle Management
800060243,ALLSTAR BUSINESS SOLUTIONS LTD,E2004474887,29,194.99,FUEL,08/04/2015,,Operations Fire Stations,Vehicle Management
800060243,ALLSTAR BUSINESS SOLUTIONS LTD,E2004474887,30,192.85,FUEL,08/04/2015,,Operations Fire Stations,Vehicle Management
800060243,ALLSTAR BUSINESS SOLUTIONS LTD,E2004474887,31,186.29,FUEL,08/04/2015,,Operations Fire Stations,Vehicle Management
